[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	7/16/2025 8:51:10 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240531.2024_05_31_14_29_42.cal	1.00		7/14/2025 11:13:35 AM	1	1	NPOC	3.530	0.7358	NPOC:0.7423mg/L TN:0.01549mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240531.2024_05_31_14_29_42.cal	1.00		7/14/2025 11:17:24 AM	1	2	NPOC	4.417	0.9733	NPOC:0.7423mg/L TN:0.01549mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240531.2024_05_31_14_29_42.cal	1.00		7/14/2025 11:22:13 AM	1	3	NPOC	3.610	0.7573	NPOC:0.7423mg/L TN:0.01549mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240531.2024_05_31_14_29_42.cal	1.00		7/14/2025 11:26:02 AM	1	4	NPOC	3.861	0.8245	NPOC:0.7423mg/L TN:0.01549mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240531.2024_05_31_14_29_42.cal	1.00		7/14/2025 11:29:51 AM	1	5	NPOC	3.522	0.7337	NPOC:0.7423mg/L TN:0.01549mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240531.2024_05_31_17_13_55.cal	1.00		7/14/2025 11:13:35 AM	1	1	TN	0.7474	0.06370	NPOC:0.7423mg/L TN:0.01549mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240531.2024_05_31_17_13_55.cal	1.00		7/14/2025 11:17:24 AM	1	2	TN	0.1831	0.00430	NPOC:0.7423mg/L TN:0.01549mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240531.2024_05_31_17_13_55.cal	1.00		7/14/2025 11:22:13 AM	1	3	TN	2.033	0.1990	NPOC:0.7423mg/L TN:0.01549mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240531.2024_05_31_17_13_55.cal	1.00		7/14/2025 11:26:02 AM	1	4	TN	0.3876	0.02583	NPOC:0.7423mg/L TN:0.01549mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240531.2024_05_31_17_13_55.cal	1.00		7/14/2025 11:29:51 AM	1	5	TN	0.2973	0.01632	NPOC:0.7423mg/L TN:0.01549mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240531.2024_05_31_14_29_42.cal	1.00		7/14/2025 11:39:28 AM	1	1	NPOC	2.894	0.5656	NPOC:0.6330mg/L TN:0.02437mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240531.2024_05_31_14_29_42.cal	1.00		7/14/2025 11:43:17 AM	1	2	NPOC	3.140	0.6314	NPOC:0.6330mg/L TN:0.02437mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240531.2024_05_31_14_29_42.cal	1.00		7/14/2025 11:47:33 AM	1	3	NPOC	3.180	0.6422	NPOC:0.6330mg/L TN:0.02437mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240531.2024_05_31_14_29_42.cal	1.00		7/14/2025 11:51:22 AM	1	4	NPOC	3.118	0.6256	NPOC:0.6330mg/L TN:0.02437mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240531.2024_05_31_17_13_55.cal	1.00		7/14/2025 11:39:28 AM	1	1	TN	0.3891	0.02599	NPOC:0.6330mg/L TN:0.02437mg/L	0	50	
