[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User		
Date/Time	10/2/2025 8:08:16 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 1:12:04 PM	1	2	NPOC	136.2	31.85	NPOC:27.79mg/L TN:2.892mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 1:16:27 PM	1	3	NPOC	119.9	27.89	NPOC:27.79mg/L TN:2.892mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 1:20:57 PM	1	4	NPOC	119.4	27.77	NPOC:27.79mg/L TN:2.892mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 1:07:54 PM	1	1	TN	25.32	2.777	NPOC:27.79mg/L TN:2.892mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 1:12:04 PM	1	2	TN	26.60	2.923	NPOC:27.79mg/L TN:2.892mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 1:16:27 PM	1	3	TN	26.04	2.859	NPOC:27.79mg/L TN:2.892mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 1:20:57 PM	1	4	TN	26.34	2.893	NPOC:27.79mg/L TN:2.892mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 1:29:45 PM	1	1	NPOC	6.747	0.4052	NPOC:0.08908mg/L TN:-0.03807mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 1:33:32 PM	1	2	NPOC	6.359	0.3109	NPOC:0.08908mg/L TN:-0.03807mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 1:37:22 PM	1	3	NPOC	5.237	0.03839	NPOC:0.08908mg/L TN:-0.03807mg/L	0	50	
