[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	5/29/2025 8:22:41 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	DI	Untitled					5.040	0.1441	mg/L	0	5/22/2025 3:30:11 PM	
Unknown	NPOC/TN	DI	Untitled					5.009	0.1254	mg/L	0	5/22/2025 3:55:21 PM	
Unknown	NPOC/TN	DI	Untitled					4.926	0.1542	mg/L	0	5/22/2025 4:19:57 PM	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled					7.109	1.495	mg/L	1	5/22/2025 4:44:26 PM	
Unknown	NPOC/TN	DI	Untitled					4.890	0.1434	mg/L	0	5/22/2025 5:10:12 PM	
Unknown	NPOC/TN	DI	Untitled					4.884	0.1371	mg/L	0	5/22/2025 5:34:20 PM	
Standard	NPOC	CalCurve_NPOC	Untitled					100.0		mg/L	2, 3, 4, 5, 6, 7, 8, 9	5/22/2025 8:30:10 PM	
Unknown	NPOC/TN	DI	Untitled					5.142	0.1809	mg/L	0	5/22/2025 8:53:22 PM	
Standard	TN	CalCurve_TN	Untitled						3.000	mg/L	10, 11, 12, 13, 14, 15, 16	5/22/2025 10:58:22 PM	
Unknown	NPOC/TN	DI	Untitled					0.3864	-0.01750	mg/L	0	5/22/2025 11:22:53 PM	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled					2.759	1.492	mg/L	17	5/22/2025 11:48:33 PM	
Unknown	NPOC/TN	DI	Untitled					0.4015	-0.01797	mg/L	0	5/23/2025 12:13:01 AM	
Unknown	NPOC/TN	DI	Untitled					0.6302	0.01052	mg/L	0	5/23/2025 12:41:01 AM	
Unknown	NPOC/TN	DI	Untitled					0.5002	-0.01858	mg/L	0	5/23/2025 1:05:22 AM	
Unknown	NPOC/TN	DI	Untitled					0.2932	0.00862	mg/L	0	5/23/2025 1:30:42 AM	
Unknown	NPOC/TN	DI	Untitled					0.4506	-0.00764	mg/L	0	5/23/2025 1:55:45 AM	
Unknown	NPOC/TN	TMP_CTRL_H3_20250509	Untitled					25.46	0.9769	mg/L	18	5/23/2025 2:18:11 AM	
Unknown	NPOC/TN	TMP_CTRL_H6_20250509	Untitled					29.91	0.9752	mg/L	19	5/23/2025 2:36:46 AM	
Unknown	NPOC/TN	TMP_CTRL_I5_20250509	Untitled					21.48	0.5675	mg/L	20	5/23/2025 3:06:35 AM	
Unknown	NPOC/TN	TMP_FW_C6_20250509	Untitled					10.30	0.3652	mg/L	21	5/23/2025 3:36:49 AM	
Unknown	NPOC/TN	TMP_FW_D5_20250509	Untitled					18.45	0.6574	mg/L	22	5/23/2025 3:58:38 AM	
Unknown	NPOC/TN	TMP_FW_H3_20250509	Untitled					13.93	0.7482	mg/L	23	5/23/2025 4:26:17 AM	
Unknown	NPOC/TN	TMP_FW_H6_20250512	Untitled					18.34	0.7041	mg/L	24	5/23/2025 4:56:32 AM	
Unknown	NPOC/TN	TMP_FW_I5_20250509	Untitled					19.30	0.7764	mg/L	25	5/23/2025 5:29:16 AM	
Unknown	NPOC/TN	TMP_FW_I5_20250509_dup	Untitled					18.96	0.7099	mg/L	26	5/23/2025 5:58:37 AM	
Unknown	NPOC/TN	TMP_SW_D5_20250509	Untitled					42.40	1.312	mg/L	27	5/23/2025 6:27:17 AM	
Unknown	NPOC/TN	TMP_SW_F6_20250509	Untitled					68.25	2.303	mg/L	28	5/23/2025 6:50:03 AM	
Unknown	NPOC/TN	TMP_SW_H6_20250509	Untitled					49.77	1.840	mg/L	29	5/23/2025 7:08:44 AM	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled					3.152	1.447	mg/L	30	5/23/2025 7:33:58 AM	
Unknown	NPOC/TN	DI	Untitled					0.4512	-0.02443	mg/L	0	5/23/2025 7:57:53 AM	
Unknown	NPOC/TN	DI	Untitled					0.5070	-0.00835	mg/L	0	5/23/2025 8:18:49 AM	
Unknown	NPOC/TN	202505_GCW_UP_LysA_10cm	Untitled					39.90	1.017	mg/L	31	5/23/2025 8:57:53 AM	
Unknown	NPOC/TN	202505_GCW_UP_LysA_20cm	Untitled					30.30	0.8458	mg/L	32	5/23/2025 9:26:49 AM	
Unknown	NPOC/TN	202505_GCW_UP_LysB_10cm	Untitled					24.24	0.8178	mg/L	33	5/23/2025 9:56:42 AM	
Unknown	NPOC/TN	202505_GCW_UP_LysB_20cm	Untitled					11.93	0.3681	mg/L	34	5/23/2025 10:25:36 AM	
Unknown	NPOC/TN	202505_GCW_UP_LysC_10cm	Untitled					22.37	0.5436	mg/L	35	5/23/2025 10:58:03 AM	
Unknown	NPOC/TN	202505_GCW_TR_LysA_20cm	Untitled					4.148	0.1838	mg/L	36	5/23/2025 11:26:03 AM	
Unknown	NPOC/TN	202505_GCW_TR_LysB_10cm	Untitled					11.04	0.3490	mg/L	37	5/23/2025 12:30:13 PM	
Unknown	NPOC/TN	202505_GCW_TR_LysB_20cm	Untitled					3.815	0.2285	mg/L	38	5/23/2025 12:58:32 PM	
Unknown	NPOC/TN	202505_GCW_TR_LysC_10cm	Untitled					20.96	0.4355	mg/L	39	5/23/2025 1:26:58 PM	
Unknown	NPOC/TN	202505_GCW_TR_LysC_10cm_dup	Untitled					21.12	0.4320	mg/L	40	5/23/2025 1:55:37 PM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					46.93	2.030	mg/L	41	5/23/2025 2:25:24 PM	
Unknown	NPOC/TN	DI	Untitled					0.5066	-0.00585	mg/L	0	5/23/2025 2:49:59 PM	
Unknown	NPOC/TN	202505_GCW_TR_LysC_20cm	Untitled					9.597	0.2155	mg/L	42	5/23/2025 3:19:57 PM	
Unknown	NPOC/TN	202505_GCW_WC_LysA_10cm	Untitled					8.968	0.8169	mg/L	43	5/23/2025 4:07:02 PM	
Unknown	NPOC/TN	202505_GCW_WC_LysA_20cm	Untitled					9.244	2.160	mg/L	44	5/23/2025 4:34:58 PM	
Unknown	NPOC/TN	202505_GCW_WC_LysA_45cm	Untitled					19.22	4.566	mg/L	45	5/23/2025 5:00:47 PM	
Unknown	NPOC/TN	202505_GCW_WC_LysB_10cm	Untitled					8.698	1.757	mg/L	46	5/23/2025 5:29:00 PM	
Unknown	NPOC/TN	202505_GCW_WC_LysB_20cm	Untitled					9.449	2.659	mg/L	47	5/23/2025 5:50:41 PM	
Unknown	NPOC/TN	202505_GCW_WC_LysB_45cm	Untitled					11.78	4.696	mg/L	48	5/23/2025 6:08:15 PM	
Unknown	NPOC/TN	202505_GCW_WC_LysC_10cm	Untitled					6.064	0.4259	mg/L	49	5/23/2025 6:37:51 PM	
Unknown	NPOC/TN	202505_GCW_WC_LysC_20cm	Untitled					5.931	0.3279	mg/L	50	5/23/2025 7:05:52 PM	
Unknown	NPOC/TN	202505_GCW_SW_A	Untitled					4.733	0.3946	mg/L	51	5/23/2025 7:22:57 PM	
Unknown	NPOC/TN	202505_GCW_SW_A_dup	Untitled					4.658	0.3540	mg/L	52	5/23/2025 7:50:45 PM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					47.35	1.829	mg/L	53	5/23/2025 8:09:13 PM	
Unknown	NPOC/TN	DI	Untitled					0.1840	-0.00049	mg/L	0	5/23/2025 8:34:01 PM	
Unknown	NPOC/TN	202505_GCW_SW_B	Untitled					4.612	0.3337	mg/L	54	5/23/2025 9:03:00 PM	
Unknown	NPOC/TN	202505_GCW_SW_C	Untitled					4.592	0.3276	mg/L	55	5/23/2025 9:31:03 PM	
Unknown	NPOC/TN	202505_MSM_UP_LysA_20cm	Untitled					53.32	1.378	mg/L	56	5/23/2025 10:07:30 PM	
Unknown	NPOC/TN	202505_MSM_UP_LysA_45cm	Untitled					27.64	0.7538	mg/L	57	5/23/2025 10:40:54 PM	
Unknown	NPOC/TN	202505_MSM_UP_LysB_10cm	Untitled					33.06	0.7303	mg/L	58	5/23/2025 11:09:26 PM	
Unknown	NPOC/TN	202505_MSM_UP_LysB_20cm	Untitled					60.01	1.048	mg/L	59	5/23/2025 11:37:50 PM	
