Project,Plot,Sample_ID,Volume_mL,Vial_ID,sample_location,Analyte,Evacuation_date_YYYMMDD,Collection_Date_YYYYMMDD,Collection_Start_Time_24hrs,Collection_End_Time_24hrs,EST_EDT,Notes
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_E3_15cm_SO4_20250711,5,SW_E3_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1347,815,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_E3_15cm_FE_20250711,6,SW_E3_FE_20250711,SERC,Fe,20250708,20250711,1347,815,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_E3_15cm_DOC_20250711,10,SW_E3_DOC_20250711,SERC,DOC,20250708,20250711,1347,815,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_E3_15cm_NUTR_20250711,8,SW_E3_NUTR_20250711,SERC,NUTR,20250708,20250711,1347,815,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_E3_15cm_CDOM_20250711,15,SW_E3_CDOM_20250711,SEQUIM,CDOM,20250708,20250711,1347,815,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_E3_15cm_ISO_20250711,2,SW_E3_ISO_20250711,SERC,Isotopes,20250708,20250711,1347,815,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_F6_15cm_SO4_20250711,5,SW_F6_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1233,827,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_F6_15cm_FE_20250711,6,SW_F6_FE_20250711,SERC,Fe,20250708,20250711,1233,827,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_F6_15cm_DOC_20250711,20,SW_F6_DOC_20250711,SERC,DOC,20250708,20250711,1233,827,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_F6_15cm_NUTR_20250711,8,SW_F6_NUTR_20250711,SERC,NUTR,20250708,20250711,1233,827,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_F6_15cm_CDOM_20250711,10,SW_F6_CDOM_20250711,SEQUIM,CDOM,20250708,20250711,1233,827,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_F6_15cm_ISO_20250711,2,SW_F6_ISO_20250711,SERC,Isotopes,20250708,20250711,1233,827,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_H3_15cm_SO4_20250711,5,SW_H3_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1243,850,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_H3_15cm_FE_20250711,6,SW_H3_FE_20250711,SERC,Fe,20250708,20250711,1243,850,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_H3_15cm_DOC_20250711,10,SW_H3_DOC_20250711,SERC,DOC,20250708,20250711,1243,850,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_H3_15cm_NUTR_20250711,8,SW_H3_NUTR_20250711,SERC,NUTR,20250708,20250711,1243,850,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_H3_15cm_CDOM_20250711,9,SW_H3_CDOM_20250711,SEQUIM,CDOM,20250708,20250711,1243,850,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_H3_15cm_ISO_20250711,2,SW_H3_ISO_20250711,SERC,Isotopes,20250708,20250711,1243,850,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_H6_15cm_SO4_20250711,5,SW_H6_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1249,855,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_H6_15cm_FE_20250711,6,SW_H6_FE_20250711,SERC,Fe,20250708,20250711,1249,855,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_H6_15cm_DOC_20250711,10,SW_H6_DOC_20250711,SERC,DOC,20250708,20250711,1249,855,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_H6_15cm_NUTR_20250711,8,SW_H6_NUTR_20250711,SERC,NUTR,20250708,20250711,1249,855,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_H6_15cm_CDOM_20250711,9,SW_H6_CDOM_20250711,SEQUIM,CDOM,20250708,20250711,1249,855,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_H6_15cm_ISO_20250711,2,SW_H6_ISO_20250711,SERC,Isotopes,20250708,20250711,1249,855,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_I5_15cm_SO4_20250711,5,SW_I5_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1353,905,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_I5_15cm_FE_20250711,6,SW_I5_FE_20250711,SERC,Fe,20250708,20250711,1353,905,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_I5_15cm_DOC_20250711,10,SW_I5_DOC_20250711,SERC,DOC,20250708,20250711,1353,905,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_I5_15cm_NUTR_20250711,8,SW_I5_NUTR_20250711,SERC,NUTR,20250708,20250711,1353,905,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_I5_15cm_CDOM_20250711,9,SW_I5_CDOM_20250711,SEQUIM,CDOM,20250708,20250711,1353,905,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_I5_15cm_ISO_20250711,2,SW_I5_ISO_20250711,SERC,Isotopes,20250708,20250711,1353,905,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_C3_15cm_SO4_20250711,5,FW_C3_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1303,1006,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_C3_15cm_FE_20250711,5,FW_C3_FE_20250711,SERC,Fe,20250708,20250711,1303,1006,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_C3_15cm_DOC_20250711,10,FW_C3_DOC_20250711,SERC,DOC,20250708,20250711,1303,1006,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_C3_15cm_NUTR_20250711,6,FW_C3_NUTR_20250711,SERC,NUTR,20250708,20250711,1303,1006,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_C3_15cm_ISO_20250711,2,FW_C3_ISO_20250711,SERC,Isotopes,20250708,20250711,1303,1006,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_C6_15cm_SO4_20250711,5,FW_C6_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1253,1015,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_C6_15cm_FE_20250711,6,FW_C6_FE_20250711,SERC,Fe,20250708,20250711,1253,1015,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_C6_15cm_DOC_20250711,20,FW_C6_DOC_20250711,SERC,DOC,20250708,20250711,1253,1015,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_C6_15cm_NUTR_20250711,14,FW_C6_NUTR_20250711,SERC,NUTR,20250708,20250711,1253,1015,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_C6_15cm_CDOM_20250711,9,FW_C6_CDOM_20250711,SEQUIM,CDOM,20250708,20250711,1253,1015,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_C6_15cm_ISO_20250711,2,FW_C6_ISO_20250711,SERC,Isotopes,20250708,20250711,1253,1015,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_D5_15cm_SO4_20250711,5,FW_D5_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1258,1027,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_D5_15cm_FE_20250711,6,FW_D5_FE_20250711,SERC,Fe,20250708,20250711,1258,1027,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_D5_15cm_DOC_20250711,20,FW_D5_DOC_20250711,SERC,DOC,20250708,20250711,1258,1027,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_D5_15cm_NUTR_20250711,14,FW_D5_NUTR_20250711,SERC,NUTR,20250708,20250711,1258,1027,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_D5_15cm_CDOM_20250711,9,FW_D5_CDOM_20250711,SEQUIM,CDOM,20250708,20250711,1258,1027,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_D5_15cm_ISO_20250711,2,FW_D5_ISO_20250711,SERC,Isotopes,20250708,20250711,1258,1027,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_F4_15cm_SO4_20250711,5,FW_F4_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1413,1053,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_F4_15cm_FE_20250711,6,FW_F4_FE_20250711,SERC,Fe,20250708,20250711,1413,1053,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_F4_15cm_DOC_20250711,10,FW_F4_DOC_20250711,SERC,DOC,20250708,20250711,1413,1053,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_F4_15cm_NUTR_20250711,8,FW_F4_NUTR_20250711,SERC,NUTR,20250708,20250711,1413,1053,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_F4_15cm_CDOM_20250711,9,FW_F4_CDOM_20250711,SEQUIM,CDOM,20250708,20250711,1413,1053,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_F4_15cm_ISO_20250711,2,FW_F4_ISO_20250711,SERC,Isotopes,20250708,20250711,1413,1053,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_H3_15cm_SO4_20250711,5,FW_H3_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1312,1100,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_I5_15cm_SO4_20250711,5,FW_I5_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1313,1110,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_I5_15cm_FE_20250711,6,FW_I5_FE_20250711,SERC,Fe,20250708,20250711,1313,1110,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_I5_15cm_DOC_20250711,20,FW_I5_DOC_20250711,SERC,DOC,20250708,20250711,1313,1110,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_I5_15cm_NUTR_20250711,14,FW_I5_NUTR_20250711,SERC,NUTR,20250708,20250711,1313,1110,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_I5_15cm_CDOM_20250711,9,FW_I5_CDOM_20250711,SEQUIM,CDOM,20250708,20250711,1313,1110,EDT,
COMPASS: TEMPEST,Freshwater,TMP_FW_PW_I5_15cm_ISO_20250711,2,FW_I5_ISO_20250711,SERC,Isotopes,20250708,20250711,1313,1110,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_B4_15cm_SO4_20250602,5,C_B4_SO4_20250602,SERC,SO4/Cl/H2S,20250530,20250602,1322,1558,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_B4_15cm_FE_20250602,6,C_B4_FE_20250602,SERC,Fe,20250530,20250602,1322,1558,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_B4_15cm_DOC_20250602,30,C_B4_DOC_20250602,SERC,DOC,20250530,20250602,1322,1558,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_B4_15cm_NUTR_20250602,14,C_B4_NUTR_20250602,SERC,NUTR,20250530,20250602,1322,1558,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_B4_15cm_CDOM_20250602,9,C_B4_CDOM_20250602,SEQUIM,CDOM,20250530,20250602,1322,1558,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_B4_15cm_ISO_20250602,2,C_B4_ISO_20250602,SERC,Isotopes,20250530,20250602,1322,1558,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_C3_15cm_SO4_20250602,5,C_C3_SO4_20250602,SERC,SO4/Cl/H2S,20250530,20250602,1324,1609,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_C3_15cm_FE_20250602,6,C_C3_FE_20250602,SERC,Fe,20250530,20250602,1324,1609,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_C3_15cm_DOC_20250602,10,C_C3_DOC_20250602,SERC,DOC,20250530,20250602,1324,1609,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_C3_15cm_NUTR_20250602,8,C_C3_NUTR_20250602,SERC,NUTR,20250530,20250602,1324,1609,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_C3_15cm_CDOM_20250602,9,C_C3_CDOM_20250602,SEQUIM,CDOM,20250530,20250602,1324,1609,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_C3_15cm_ISO_20250602,2,C_C3_ISO_20250602,SERC,Isotopes,20250530,20250602,1324,1609,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_C6_15cm_SO4_20250602,5,C_C6_SO4_20250602,SERC,SO4/Cl/H2S,20250530,20250602,1318,1546,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_C6_15cm_FE_20250602,6,C_C6_FE_20250602,SERC,Fe,20250530,20250602,1318,1546,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_C6_15cm_DOC_20250602,10,C_C6_DOC_20250602,SERC,DOC,20250530,20250602,1318,1546,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_C6_15cm_NUTR_20250602,8,C_C6_NUTR_20250602,SERC,NUTR,20250530,20250602,1318,1546,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_C6_15cm_CDOM_20250602,9,C_C6_CDOM_20250602,SEQUIM,CDOM,20250530,20250602,1318,1546,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_C6_15cm_ISO_20250602,2,C_C6_ISO_20250602,SERC,Isotopes,20250530,20250602,1318,1546,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_D5_15cm_SO4_20250602,5,C_D5_SO4_20250602,SERC,SO4/Cl/H2S,20250530,20250602,1328,1620,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_D5_15cm_FE_20250602,5,C_D5_FE_20250602,SERC,Fe,20250530,20250602,1328,1620,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_D5_15cm_NUTR_20250602,7,C_D5_NUTR_20250602,SERC,NUTR,20250530,20250602,1328,1620,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F4_15cm_SO4_20250602,5,C_F4_SO4_20250602,SERC,SO4/Cl/H2S,20250530,20250602,1339,1634,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F4_15cm_FE_20250602,6,C_F4_FE_20250602,SERC,Fe,20250530,20250602,1339,1634,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F4_15cm_DOC_20250602,20,C_F4_DOC_20250602,SERC,DOC,20250530,20250602,1339,1634,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F4_15cm_NUTR_20250602,8,C_F4_NUTR_20250602,SERC,NUTR,20250530,20250602,1339,1634,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F4_15cm_CDOM_20250602,9,C_F4_CDOM_20250602,SEQUIM,CDOM,20250530,20250602,1339,1634,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F4_15cm_ISO_20250602,2,C_F4_ISO_20250602,SERC,Isotopes,20250530,20250602,1339,1634,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F6_15cm_SO4_20250602,5,C_F6_SO4_20250602,SERC,SO4/Cl/H2S,20250530,20250602,1331,1624,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F6_15cm_FE_20250602,6,C_F6_FE_20250602,SERC,Fe,20250530,20250602,1331,1624,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F6_15cm_DOC_20250602,10,C_F6_DOC_20250602,SERC,DOC,20250530,20250602,1331,1624,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F6_15cm_NUTR_20250602,8,C_F6_NUTR_20250602,SERC,NUTR,20250530,20250602,1331,1624,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F6_15cm_CDOM_20250602,9,C_F6_CDOM_20250602,SEQUIM,CDOM,20250530,20250602,1331,1624,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F6_15cm_ISO_20250602,2,C_F6_ISO_20250602,SERC,Isotopes,20250530,20250602,1331,1624,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H3_15cm_SO4_20250602,5,C_H3_SO4_20250602,SERC,SO4/Cl/H2S,20250530,20250602,1342,1643,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H3_15cm_FE_20250602,6,C_H3_FE_20250602,SERC,Fe,20250530,20250602,1342,1643,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H3_15cm_DOC_20250602,20,C_H3_DOC_20250602,SERC,DOC,20250530,20250602,1342,1643,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H3_15cm_NUTR_20250602,8,C_H3_NUTR_20250602,SERC,NUTR,20250530,20250602,1342,1643,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H3_15cm_CDOM_20250602,9,C_H3_CDOM_20250602,SEQUIM,CDOM,20250530,20250602,1342,1643,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H3_15cm_ISO_20250602,2,C_H3_ISO_20250602,SERC,Isotopes,20250530,20250602,1342,1643,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H6_15cm_SO4_20250602,5,C_H6_SO4_20250602,SERC,SO4/Cl/H2S,20250530,20250602,1349,1707,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H6_15cm_FE_20250602,6,C_H6_FE_20250602,SERC,Fe,20250530,20250602,1349,1707,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H6_15cm_DOC_20250602,35,C_H6_DOC_20250602,SERC,DOC,20250530,20250602,1349,1707,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H6_15cm_NUTR_20250602,14,C_H6_NUTR_20250602,SERC,NUTR,20250530,20250602,1349,1707,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H6_15cm_CDOM_20250602,9,C_H6_CDOM_20250602,SEQUIM,CDOM,20250530,20250602,1349,1707,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H6_15cm_ISO_20250602,2,C_H6_ISO_20250602,SERC,Isotopes,20250530,20250602,1349,1707,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_I5_15cm_SO4_20250602,5,C_I5_SO4_20250602,SERC,SO4/Cl/H2S,20250530,20250602,1344,1656,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_I5_15cm_FE_20250602,6,C_I5_FE_20250602,SERC,Fe,20250530,20250602,1344,1656,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_I5_15cm_DOC_20250602,35,C_I5_DOC_20250602,SERC,DOC,20250530,20250602,1344,1656,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_I5_15cm_NUTR_20250602,14,C_I5_NUTR_20250602,SERC,NUTR,20250530,20250602,1344,1656,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_I5_15cm_CDOM_20250602,9,C_I5_CDOM_20250602,SEQUIM,CDOM,20250530,20250602,1344,1656,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_I5_15cm_ISO_20250602,2,C_I5_ISO_20250602,SERC,Isotopes,20250530,20250602,1344,1656,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_B4_15cm_SO4_20250602,5,SW_B4_SO4_20250602,SERC,SO4/Cl/H2S,20250530,20250602,1312,1531,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_B4_15cm_FE_20250602,6,SW_B4_FE_20250602,SERC,Fe,20250530,20250602,1312,1531,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_B4_15cm_DOC_20250602,35,SW_B4_DOC_20250602,SERC,DOC,20250530,20250602,1312,1531,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_B4_15cm_NUTR_20250602,14,SW_B4_NUTR_20250602,SERC,NUTR,20250530,20250602,1312,1531,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_B4_15cm_CDOM_20250602,15,SW_B4_CDOM_20250602,SEQUIM,CDOM,20250530,20250602,1312,1531,EDT,
