Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.580 	0.3377 	5.55 	0.3027 	2.26 
6	Standard 2	Calibration Standard	4.570 	0.8466 	6.56 	0.7589 	5.25 
7	Standard 3	Calibration Standard	4.560 	1.8356 	6.92 	1.6456 	10.74 
8	Standard 4	Calibration Standard	4.520 	9.9679 	7.21 	8.9358 	53.09 
9	Standard 5	Calibration Standard	4.483 	20.0442 	7.26 	17.9688 	98.29 
10	Lab Blank	Unknown	4.557 	0.0003 	1.95 	0.0002 	0.00 
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	72_TEMPEST_SW_B4_20240613_15cm_T-5	Unknown	4.527 	407.5898 	8.31 	7.3078 	44.11 
13	73_TEMPEST_SW_I5_20240613_15cm_T-5	Unknown	4.530 	348.3343 	7.42 	6.2454 	38.19 
14	74_TEMPEST_FW_F4_20240613_15cm_T-5	Unknown	4.583 	5.1154 	0.92 	0.0917 	0.58 
15	75_TEMPEST_FW_E3_20240613_15cm_T-5	Unknown	4.580 	2.2338 	0.46 	0.0401 	0.25 
16	76_TEMPEST_FW_C3_20240613_15cm_T-5	Unknown	4.577 	7.1842 	1.23 	0.1288 	0.83 
17	77_TEMPEST_FW_D5_20240613_15cm_T-5	Unknown	4.583 	5.8512 	1.03 	0.1049 	0.67 
18	Standard 2	Check Standard	4.607 	0.8804 	6.69 	0.7892 	5.39 
