Event,plot,grid,collection_datetime,sample_name,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU,evacuation_date
TMP,Freshwater,B4,2023-06-07T21:23:00Z,TMP_FW_B4_20230607_1600,0.014032,0.99786,0.017047,0.99991,0.82311,5.1674,1.5267,0.89722,0.54423,0.55037,0.15326,0.14886,0.14886,0.037988,0.029659,0.01317,0.0089124,0.63228,1.0153,0.18642,0.11439,0.56057,0.45602,2023-06-07
TMP,Freshwater,C3,2023-06-06T20:40:00Z,TMP_FW_C3_20230606,0.012993,0.99888,0.016363,0.99996,0.79406,4.7637,1.4545,0.92557,0.53089,0.53865,0.15222,0.1482,0.1482,0.040637,0.031955,0.01462,0.0099707,0.57151,0.96023,0.1437,0.080993,0.49522,0.42452,2023-06-05
TMP,Freshwater,C3,2023-06-08T20:13:00Z,TMP_FW_C3_20230608,0.013199,0.99941,0.017317,0.99985,0.76223,4.9181,1.4575,0.92738,0.52125,0.53667,0.21002,0.2044,0.2044,0.054662,0.042703,0.018469,0.012183,0.76571,1.2774,0.19715,0.11073,0.6615,0.58337,2023-06-07
TMP,Freshwater,C3,2023-06-14T19:02:00Z,TMP_FW_C3_20230614,0.013667,0.99862,0.017877,0.99984,0.76452,5.1987,1.4928,0.93041,0.53256,0.54201,0.24852,0.24164,0.24164,0.061759,0.047804,0.020045,0.012759,0.97069,1.6322,0.23333,0.12802,0.84564,0.73466,2023-06-12
TMP,Freshwater,C3,2023-06-27T16:11:00Z,TMP_FW_C3_20230627,0.0136,0.99941,0.017689,0.99983,0.76886,5.093,1.4921,0.93923,0.53534,0.54728,0.38067,0.37041,0.37041,0.096344,0.074744,0.031537,0.019817,1.3457,2.246,0.29241,0.1459,1.133,1.0556,2023-06-23
TMP,Freshwater,C3,2023-07-10T15:05:00Z,TMP_FW_C3_20230710,0.013688,0.99951,0.01805,0.99982,0.75838,5.2442,1.5012,0.92743,0.53494,0.54646,0.42328,0.4119,0.4119,0.10446,0.080715,0.033497,0.021103,1.4742,2.5183,0.34398,0.18896,1.2423,1.1528,2023-07-07
TMP,Freshwater,C3,2023-06-07T21:34:00Z,TMP_FW_C3_20230607_1600,0.013167,0.99901,0.016941,0.99992,0.77725,4.8871,1.4597,0.92516,0.52231,0.53541,0.17307,0.16852,0.16852,0.045247,0.035414,0.015656,0.010516,0.65636,1.1049,0.16751,0.08911,0.56833,0.49606,2023-06-07
TMP,Freshwater,C3,2023-06-07T13:02:00Z,TMP_FW_C3_20230607_1600,0.013167,0.99901,0.016941,0.99992,0.77725,4.8871,1.4597,0.92516,0.52231,0.53541,0.17307,0.16852,0.16852,0.045247,0.035414,0.015656,0.010516,0.65636,1.1049,0.16751,0.08911,0.56833,0.49606,2023-06-06
TMP,Freshwater,C3,2023-06-07T21:34:00Z,TMP_FW_C3_20230607_0800,0.013092,0.9993,0.01681,0.99993,0.77884,4.8556,1.4608,0.91852,0.51882,0.52972,0.24593,0.23924,0.23924,0.064676,0.050648,0.022485,0.014871,0.86725,1.4457,0.24121,0.13476,0.74661,0.662,2023-06-07
TMP,Freshwater,C3,2023-06-07T13:02:00Z,TMP_FW_C3_20230607_0800,0.013092,0.9993,0.01681,0.99993,0.77884,4.8556,1.4608,0.91852,0.51882,0.52972,0.24593,0.23924,0.23924,0.064676,0.050648,0.022485,0.014871,0.86725,1.4457,0.24121,0.13476,0.74661,0.662,2023-06-06
