Event,plot,grid,collection_datetime,sample_name,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU,evacuation_date
TMP,Freshwater,POOL,2022-06-23T13:38:00Z,TMP_FW_POOL_T3,0.01394,0.99959,0.018192,0.99987,0.76626,5.3873,1.5074,0.91711,0.58705,0.59618,0.28167,0.27366,0.27366,0.068008,0.052285,0.021573,0.01328,1.1593,1.9509,0.36924,0.25277,1.0223,0.87634,2022-06-22
TMP,Freshwater,H6,2022-06-22T20:14:00Z,TMP_FW_H6_T2,0.013965,0.99917,0.018268,0.9999,0.76447,5.4568,1.5258,0.92529,0.56557,0.57306,0.18821,0.18263,0.18263,0.044935,0.03449,0.014253,0.0089602,0.86744,1.4234,0.21159,0.12,0.77052,0.61822,2022-06-22
TMP,Control,POOL,2022-06-23T13:38:00Z,TMP_C_POOL_T3,0.013951,0.99818,0.018789,0.99981,0.74252,5.3717,1.5551,0.92331,0.55027,0.56641,0.47772,0.46515,0.46515,0.11631,0.088933,0.035581,0.021886,1.6975,2.5055,0.39731,0.26017,1.413,1.2837,2022-06-22
TMP,Estuarine-water,POOL,2022-06-22T20:14:00Z,TMP_SW_POOL_T2,0.017242,0.99701,0.020693,0.99976,0.83319,7.3693,1.7699,0.69873,0.875,0.89286,0.1125,0.10871,0.10871,0.020483,0.015266,0.0055346,0.0032538,0.67481,0.99668,0.3621,0.26393,0.55232,0.46254,2022-06-22
TMP,Freshwater,POOL,2022-06-15T15:59:00Z,TMP_FW_POOL_20220615,0.014724,0.99926,0.018978,0.99977,0.77582,5.6847,1.5501,0.92922,0.56288,0.57329,0.36589,0.35513,0.35513,0.084281,0.064365,0.025577,0.015736,1.5868,2.6556,0.40962,0.24223,1.3833,1.2119,2022-06-15
TMP,Freshwater,POOL,2022-06-22T16:45:00Z,TMP_FW_POOL_T1,0.014475,0.99903,0.018443,0.99985,0.78484,5.5663,1.5039,0.91639,0.56533,0.57599,0.21197,0.20584,0.20584,0.049624,0.038081,0.015521,0.0096161,0.91559,1.5388,0.26887,0.1543,0.81555,0.68064,2022-06-22
TMP,Estuarine-water,POOL,2022-06-22T16:47:00Z,TMP_SW_POOL_T1,0.015392,0.99834,0.018516,0.99988,0.83128,5.8799,1.6909,0.82916,0.78714,0.79251,0.17006,0.16524,0.16524,0.037738,0.028922,0.011792,0.0074667,0.79229,1.2283,0.31061,0.23187,0.65901,0.58819,2022-06-22
TMP,Freshwater,POOL,2022-06-13T15:59:00Z,TMP_FW_POOL_20220613,0.014945,0.99945,0.019099,0.99981,0.78252,5.9125,1.5373000000000001,0.92962,0.5795,0.59484,0.30231,0.29349,0.29349,0.067242,0.051131,0.020094,0.012196,1.369,2.2892,0.36119,0.21664,1.2102,1.0332,2022-06-13
TMP,Control,POOL,2022-06-15T15:59:00Z,TMP_C_POOL_20220615,0.014293,0.9988,0.019154,0.99976,0.74622,5.4734,1.5588,0.92928,0.55306,0.56604,0.47451,0.46191,0.46191,0.1138,0.086693,0.033925,0.020609,1.8118,2.8003,0.44046,0.25579,1.5452,1.3488,2022-06-15
TMP,Control,POOL,2022-06-22T20:34:00Z,TMP_C_POOL_T2,0.014609,0.99894,0.019953,0.99973,0.73219,5.745,1.5269,0.92111,0.55996,0.56699,0.53065,0.51654,0.51654,0.12254,0.092367,0.034775,0.020669,2.0092,3.1758,0.45033,0.23774,1.7029,1.5061,2022-06-22
