"","Project","plot","grid","Depth_cm","sample_type","Vial_ID","date","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Volume_mL"
"1","COMPASS: TEMPEST","C","B4",15,"DOC","C_B4_DOC_20250131","20250131",31.35,2612.5,"",0.9852,70.3714285714286,"TN r2 low","2/4/2025 9:12:13 PM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1236,1219,"EST",10
"2","COMPASS: TEMPEST","C","C3",15,"DOC","C_C3_DOC_20250131","20250131",30.54,2545,"",0.6599,47.1357142857143,"TN r2 low","2/4/2025 9:42:02 PM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1225,1137,"EST",10
"3","COMPASS: TEMPEST","C","D5",15,"DOC","C_D5_DOC_20250131","20250131",21.09,1757.5,"",0.5605,40.0357142857143,"TN r2 low","2/4/2025 10:00:23 PM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1230,1227,"EST",10
"4","COMPASS: TEMPEST","C","E3",15,"DOC","C_E3_DOC_20250131","20250131",25.9,2158.33333333333,"",0.7722,55.1571428571429,"TN r2 low","2/4/2025 10:29:44 PM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1222,1126,"EST",10
"5","COMPASS: TEMPEST","C","H6",15,"DOC","C_H6_DOC_20250131","20250131",36.77,3064.16666666667,"",1.233,88.0714285714286,"TN r2 low","2/4/2025 10:58:13 PM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1215,1113,"EST",10
"6","COMPASS: TEMPEST","C","I5",15,"DOC","C_I5_DOC_20250131","20250131",16.82,1401.66666666667,"",0.5264,37.6,"TN r2 low","2/4/2025 11:26:31 PM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1212,1100,"EST",10
"7","COMPASS: TEMPEST","FW","C3",15,"DOC","FW_C3_DOC_20250131","20250131",23.94,1995,"",0.8356,59.6857142857143,"TN r2 low","2/5/2025 1:09:38 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1322,1414,"EST",10
"8","COMPASS: TEMPEST","FW","C6",15,"DOC","FW_C6_DOC_20250131","20250131",14.64,1220,"",0.611,43.6428571428571,"TN r2 low","2/5/2025 1:38:03 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1314,1405,"EST",10
"9","COMPASS: TEMPEST","FW","D5",15,"DOC","FW_D5_DOC_20250131","20250131",21.37,1780.83333333333,"",0.8061,57.5785714285714,"TN r2 low","2/5/2025 2:06:34 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1316,1408,"EST",13
"10","COMPASS: TEMPEST","FW","H3",15,"DOC","FW_H3_DOC_20250131","20250131",15.27,1272.5,"",0.5781,41.2928571428571,"TN r2 low","2/5/2025 2:34:41 AM","Standard curve for TN is not good, reanalyzed with a
  recently run standard curve to get values.",20250128,20250131,1426,1420,"EST",10
