date,Project,plot,grid,sample_name,evacuation_datetime,collection_datetime,tz,doc_mg_l,tdn_mg_l,doc_flag,tdn_flag
2025-01-31,COMPASS: TEMPEST,Control,B4,C_B4_DOC_20250131,2025-01-28T20:36:00Z,2025-01-31T20:19:00Z,EST,31.35,0.9852,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Control,C3,C_C3_DOC_20250131,2025-01-28T20:25:00Z,2025-01-31T19:37:00Z,EST,30.54,0.6599,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Control,D5,C_D5_DOC_20250131,2025-01-28T20:30:00Z,2025-01-31T20:27:00Z,EST,21.09,0.5605,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Control,E3,C_E3_DOC_20250131,2025-01-28T20:22:00Z,2025-01-31T19:26:00Z,EST,25.9,0.7722,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Control,H6,C_H6_DOC_20250131,2025-01-28T20:15:00Z,2025-01-31T19:13:00Z,EST,36.77,1.233,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Control,I5,C_I5_DOC_20250131,2025-01-28T20:12:00Z,2025-01-31T19:00:00Z,EST,16.82,0.5264,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Freshwater,C3,FW_C3_DOC_20250131,2025-01-28T21:22:00Z,2025-01-31T22:14:00Z,EST,23.94,0.8356,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Freshwater,C6,FW_C6_DOC_20250131,2025-01-28T21:14:00Z,2025-01-31T22:05:00Z,EST,14.64,0.611,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Freshwater,D5,FW_D5_DOC_20250131,2025-01-28T21:16:00Z,2025-01-31T22:08:00Z,EST,21.37,0.8061,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Freshwater,H3,FW_H3_DOC_20250131,2025-01-28T22:26:00Z,2025-01-31T22:20:00Z,EST,15.27,0.5781,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Freshwater,I5,FW_I5_DOC_20250131,2025-01-28T22:21:00Z,2025-01-31T22:27:00Z,EST,32.94,1.094,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Saltwater,B4,SW_B4_DOC_20250131,2025-01-28T20:44:00Z,2025-01-31T20:52:00Z,EST,53.78,1.417,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20250131,2025-01-28T21:49:00Z,2025-01-31T21:08:00Z,EST,51.3,1.41,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Saltwater,E3,SW_E3_DOC_20250131,2025-01-28T20:57:00Z,2025-01-31T21:55:00Z,EST,11.99,0.7017,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Saltwater,F4,SW_F4_DOC_20250131,2025-01-28T20:55:00Z,2025-01-31T21:51:00Z,EST,60.74,2.508,NA,TN r2 low
2025-01-31,COMPASS: TEMPEST,Saltwater,F6,SW_F6_DOC_20250131,2025-01-28T20:53:00Z,2025-01-31T21:47:00Z,EST,30.94,1.255,NA,TN r2 low
