site,plot,grid,date,evacuation_date,collection_date,Total_Volume_mL,Pooled_vol_mL_from_C3,Pooled_vol_mL_from_C6,Pooled_vol_mL_from_H3,Pooled_vol_mL_from_H6,Pooled_vol_mL_from_B4,Pooled_vol_mL_from_D5,Pooled_vol_mL_from_E3,Pooled_vol_mL_from_I5,Pooled_vol_mL_from_F4,Pooled_vol_mL_from_F6,doc_mg_l,tdn_mg_l,doc_flag,tdn_flag
TMP,Control,POOL,2023-02-02,2023-01-30,2023-02-02,159,4,25,0,20,6,4,25,25,0,25,12.26,0.42,pooled sample,pooled sample
TMP,Control,POOL,2023-02-02,2023-02-02,2023-02-06,159,0,0,25,0,0,0,0,0,0,0,12.26,0.42,pooled sample,pooled sample
TMP,Freshwater,POOL,2023-02-02,2023-01-30,2023-02-02,140,0,20,24,25,2,25,5,25,4,0,10.75,0.71,pooled sample,pooled sample
TMP,Freshwater,POOL,2023-02-02,2023-02-02,2023-02-06,140,0,0,0,0,0,0,0,0,0,10,10.75,0.71,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2023-02-02,2023-01-30,2023-02-02,140,69,0,0,0,22,0,0,2,0,15,52.75,1.87,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2023-02-02,2023-02-02,2023-02-06,140,0,7,0,0,0,0,0,25,0,0,52.75,1.87,pooled sample,pooled sample
TMP,Control,POOL,2023-04-17,2023-04-14,2023-04-17,66.5,0,25,13,25,0,0,0,0,0,3.5,12.18,0.55,pooled sample,pooled sample
TMP,Freshwater,POOL,2023-04-17,2023-04-14,2023-04-17,106,2,0,25,25,4,25,0,25,0,0,11.14,0.49,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2023-04-17,2023-04-14,2023-04-17,131,25,8,25,0,25,18,0,0,5,25,45.66,1.48,pooled sample,pooled sample
TMP,Control,POOL,2023-05-15,2023-05-12,2023-05-15,25,0,4,0,2,0,2,0,2,0,2,21.09,0.72,pooled sample,pooled sample
TMP,Freshwater,POOL,2023-05-15,2023-05-12,2023-05-15,96,4,6,0,7,2,10,7,21,0,5,10.83,0.44,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2023-05-15,2023-05-12,2023-05-15,22,2,0,0,3,2,2,0,0,0,3,45.91,1.5,pooled sample,pooled sample
TMP,Freshwater,POOL,2023-06-08,2023-06-07,2023-06-08,89,25,0,0,0,0,25,0,14,25,0,6,0.2,pooled sample,pooled sample
TMP,Freshwater,POOL,2023-06-12,2023-06-08,2023-06-12,10,4,0,0,0,0,2,0,4,0,0,7.18,0.41,pooled sample,pooled sample
TMP,Freshwater,POOL,2023-06-07,2023-06-07,2023-06-07,104,25,0,0,4,0,25,0,25,25,0,4.87,0.31,pooled sample,pooled sample
TMP,Freshwater,POOL,2023-06-07,2023-06-06,2023-06-07,94,25,0,0,19,0,25,0,0,25,0,6.91,0.35,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2023-06-07,2023-06-07,2023-06-07,25,17,0,0,0,4,0,0,0,0,4,5.8,0.49,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2023-06-07,2023-06-06,2023-06-07,83,37,0,0,2,23,6,14,0,0,1,5.39,0.39,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2023-06-08,2023-06-07,2023-06-08,96,15,0,0,0,49,5,27,0,0,0,5.29,0.37,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2023-06-08,2023-06-07,2023-06-08,96,15,0,0,0,49,5,27,0,0,0,8.93,0.43,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2023-06-14,2023-06-12,2023-06-14,64,25,0,0,0,6,5,15,3,0,10,6.49,0.47,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2023-06-17,2023-06-14,2023-06-17,32,0,0,0,0,7,25,0,0,0,0,5,0.35,pooled sample,pooled sample
TMP,Control,POOL,2023-06-28,2023-06-23,2023-06-28,92,0,17,0,25,0,25,0,25,0,0,15.42,0.53,pooled sample,pooled sample
TMP,Freshwater,POOL,2023-06-27,2023-06-23,2023-06-27,175,25,0,25,0,0,25,25,25,25,25,11.16,0.44,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2023-06-27,2023-06-23,2023-06-27,250,25,25,25,25,25,25,25,25,25,25,5.85,0.47,pooled sample,pooled sample
TMP,Freshwater,POOL,2023-07-07,2023-07-07,2023-07-10,214,62,0,0,38,0,49,0,18,47,0,14.35,0.69,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2023-07-07,2023-07-05,2023-07-07,80.5,0,0,0,0,0,0,0,0,0,5.5,7.91,0.51,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2023-07-07,2023-07-07,2023-07-10,80.5,25,0,0,0,25,0,0,0,0,25,7.91,0.51,pooled sample,pooled sample
TMP,Control,POOL,2023-08-07,2023-08-07,2023-08-10,91,0,20,25,25,5,0,7,0,4,5,18.14,0.69,pooled sample,pooled sample
TMP,Freshwater,POOL,2023-08-07,2023-08-04,2023-08-07,84,0,0,0,0,0,0,0,5,4,0,13.13,0.7,pooled sample,pooled sample
TMP,Freshwater,POOL,2023-08-07,2023-08-07,2023-08-10,84,0,0,25,0,25,0,0,0,0,25,13.13,0.7,pooled sample,pooled sample
