Event,plot,grid,sample_name,doc_mg_l,tdn_mg_l,evacuation_date,collection_datetime,tz
TMP,Control,F4,TMP_C_F4_20220518,8.13,0.47,2022-05-12,2022-05-18T15:59:00Z,EDT
TMP,Control,H6,TMP_C_H6_20220518,13.92,0.47,2022-05-12,2022-05-18T15:59:00Z,EDT
TMP,Control,D5,TMP_C_D5_20220518,18.36,0.66,2022-05-12,2022-05-18T15:59:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20220518,7.01,0.33,2022-05-12,2022-05-18T15:59:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20220520,9.03,0.45,2022-05-12,2022-05-20T15:59:00Z,EDT
TMP,Freshwater,E3,TMP_FW_E3_20220518,13.84,0.6,2022-05-12,2022-05-18T15:59:00Z,EDT
TMP,Freshwater,I5,TMP_FW_PW_I5_15cm_20220613,12.73,0.78,2022-06-09,2022-06-13T15:59:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_PW_E3_15cm_20220613,9.96,1,2022-06-09,2022-06-13T15:59:00Z,EDT
TMP,Freshwater,F4,TMP_FW_PW_F4_15cm_20220613,10.91,0.05,2022-06-09,2022-06-13T15:59:00Z,EDT
TMP,Control,B4,TMP_C_PW_B4_15cm_20220613,10.19,0.53,2022-06-09,2022-06-13T15:59:00Z,EDT
TMP,Estuarine-water,I5,TMP_SW_PW_I5_15cm_20220613,14.77,1.28,2022-06-09,2022-06-13T15:59:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_PW_B4_15cm_20220613,20.02,0.6,2022-06-09,2022-06-13T15:59:00Z,EDT
TMP,Control,C6,TMP_C_PW_C6_15cm_20220613,8.83,0.44,2022-06-09,2022-06-13T15:59:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_PW_C3_15cm_20220613,23.65,0.99,2022-06-09,2022-06-13T15:59:00Z,EDT
TMP,Freshwater,C3,TMP_FW_PW_C3_15cm_20220613,10.55,0.52,2022-06-09,2022-06-13T15:59:00Z,EDT
TMP,Control,I5,TMP_C_PW_I5_15cm_20220613,19.15,0.84,2022-06-09,2022-06-13T15:59:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_PW_D5_15cm_20220613,11.32,0.58,2022-06-09,2022-06-13T15:59:00Z,EDT
TMP,Freshwater,H6,TMP_FW_PW_H6_15cm_20220613,13.55,0.66,2022-06-09,2022-06-13T15:59:00Z,EDT
TMP,Freshwater,D5,TMP_FW_PW_D5_15cm_20220613,9.54,0.4,2022-06-09,2022-06-13T15:59:00Z,EDT
TMP,Freshwater,C6,TMP_FW_PW_C6_15cm_20220615,8.43,0.4,2022-06-09,2022-06-15T15:59:00Z,EDT
TMP,Control,E3,TMP_C_PW_E3_15cm_20220615,10.3,0.45,2022-06-09,2022-06-15T15:59:00Z,EDT
TMP,Estuarine-water,H3,TMP_SW_PW_H3_15cm_20220615,20.06,0.06,2022-06-09,2022-06-15T15:59:00Z,EDT
TMP,Control,H6,TMP_C_PW_H6_15cm_20220615,17.41,0.66,2022-06-09,2022-06-15T15:59:00Z,EDT
TMP,Control,F6,TMP_C_SW_F6_15cm_20220615,13.77,0.57,2022-06-09,2022-06-15T15:59:00Z,EDT
TMP,Freshwater,H3,TMP_FW_PW_H3_15cm_20220615,5.06,0.28,2022-06-09,2022-06-15T15:59:00Z,EDT
TMP,Control,H3,TMP_C_PW_H3_15cm_20220615,21.45,0.59,2022-06-09,2022-06-15T15:59:00Z,EDT
TMP,Estuarine-water,C6,TMP_SW_PW_C6_15cm_20220615,21.12,0.97,2022-06-09,2022-06-15T15:59:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_T0,14.41,0.54,2022-06-18,2022-06-20T14:15:00Z,EDT
TMP,Freshwater,C6,TMP_FW_C6_T0,8.27,0.36,2022-06-18,2022-06-20T14:15:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_T0,15.67,0.7,2022-06-18,2022-06-20T14:15:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_T1,15.5,0.93,2022-06-22,2022-06-22T16:47:00Z,EDT
TMP,Estuarine-water,H6,TMP_SW_H6_T1,7.25,0.37,2022-06-22,2022-06-22T16:47:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_T1,11.37,0.48,2022-06-22,2022-06-22T16:47:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_T1,10.45,0.49,2022-06-22,2022-06-22T16:45:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_T1,4.9,0.44,2022-06-22,2022-06-22T16:47:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_T1,26.89,0.42,2022-06-22,2022-06-22T16:45:00Z,EDT
TMP,Freshwater,C6,TMP_FW_C6_T1,1.27,0.08,2022-06-22,2022-06-22T16:45:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_T1,5.54,0.18,2022-06-22,2022-06-22T16:45:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_T1,5.62,0.24,2022-06-22,2022-06-22T16:45:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_T1,4.67,0.16,2022-06-22,2022-06-22T16:45:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_T2,4.86,0.21,2022-06-22,2022-06-22T20:14:00Z,EDT
TMP,Freshwater,F6,TMP_FW_F6_T2,7.4,0.26,2022-06-22,2022-06-22T20:14:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_T2,8.13,0.27,2022-06-22,2022-06-22T20:14:00Z,EDT
TMP,Freshwater,E3,TMP_FW_E3_T2,6.74,0.23,2022-06-22,2022-06-22T20:14:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_T2,2.81,0.08,2022-06-22,2022-06-22T20:14:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_T2,9.72,0.25,2022-06-22,2022-06-22T20:14:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_T2,18.61,0.3,2022-06-22,2022-06-22T20:14:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_T2,7.3,0.47,2022-06-22,2022-06-22T20:14:00Z,EDT
TMP,Estuarine-water,I5,TMP_SW_I5_T2,11.85,1.25,2022-06-22,2022-06-22T20:14:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_T2,4.66,0.4,2022-06-22,2022-06-22T20:14:00Z,EDT
TMP,Estuarine-water,F6,TMP_SW_F6_T2,5.09,0.36,2022-06-22,2022-06-22T20:14:00Z,EDT
TMP,Estuarine-water,F4,TMP_SW_F4_T2,10.66,0.53,2022-06-22,2022-06-22T20:14:00Z,EDT
TMP,Estuarine-water,H3,TMP_SW_H3_T2,6.53,0.57,2022-06-22,2022-06-22T20:14:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_T2,2.78,0.17,2022-06-22,2022-06-22T20:14:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_T2,8.48,0.5,2022-06-22,2022-06-22T20:14:00Z,EDT
TMP,Control,C6,TMP_C_C6_T3,24.39,0.72,2022-06-22,2022-06-23T13:38:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_T3,10.23,0.3,2022-06-22,2022-06-23T13:38:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_T3,9.6,0.32,2022-06-22,2022-06-23T13:38:00Z,EDT
TMP,Control,H6,TMP_C_H6_T3,20.74,0.62,2022-06-22,2022-06-23T13:38:00Z,EDT
TMP,Control,I5,TMP_C_I5_T3,22.93,0.67,2022-06-22,2022-06-23T13:38:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_T3,9.22,0.52,2022-06-22,2022-06-23T13:41:00Z,EDT
