date,site,plot,grid,sample_name,evacuation_datetime,collection_datetime,tz,doc_mg_l,tdn_mg_l,doc_flag,tdn_flag
2022-05-18,TMP,Estuarine-water,B4,Lysimeter Empty,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-18,TMP,Estuarine-water,C3,Lysimeter Empty,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-18,TMP,Estuarine-water,C6,Lysimeter Empty,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-18,TMP,Estuarine-water,D5,Lysimeter Empty,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-18,TMP,Estuarine-water,E3,Lysimeter Empty,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-18,TMP,Estuarine-water,F4,Lysimeter Empty,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-18,TMP,Estuarine-water,F6,Lysimeter Empty,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-18,TMP,Estuarine-water,H3,Lysimeter Empty,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-18,TMP,Estuarine-water,H6,Lysimeter Empty,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-18,TMP,Estuarine-water,I5,Lysimeter Empty,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Freshwater,H6,TMP_FW_H6_20220520,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,9.03,0.45,NA,NA
2022-05-20,TMP,Freshwater,C3,TMP_FW_C3_20220520,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,replicates greater than 25% different,replicates greater than 25% different
2022-05-20,TMP,Freshwater,C3,TMP_FW_C3_20220520,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,replicates greater than 25% different,replicates greater than 25% different
2022-05-20,TMP,Control,B4,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Control,C3,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Control,C6,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Control,D5,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Control,E3,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Control,F4,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Control,F6,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Control,H3,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Control,H6,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Control,I5,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Freshwater,B4,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Freshwater,C6,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Freshwater,D5,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Freshwater,E3,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Freshwater,F4,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Freshwater,F6,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Freshwater,H3,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Freshwater,I5,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Estuarine-water,B4,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Estuarine-water,C3,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Estuarine-water,C6,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Estuarine-water,D5,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Estuarine-water,E3,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Estuarine-water,F4,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Estuarine-water,F6,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Estuarine-water,H3,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Estuarine-water,H6,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-05-20,TMP,Estuarine-water,I5,Lysimeter Empty,2022-05-18T15:59:00Z,2022-05-20T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Freshwater,I5,TMP_FW_PW_I5_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,12.73,0.78,NA,NA
2022-06-13,TMP,Estuarine-water,E3,TMP_SW_PW_E3_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,9.96,1,NA,NA
2022-06-13,TMP,Freshwater,F4,TMP_FW_PW_F4_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,10.91,0.05,NA,blank is ≥ 25% of sample value
2022-06-13,TMP,Control,B4,TMP_C_PW_B4_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,10.19,0.53,NA,NA
2022-06-13,TMP,Estuarine-water,I5,TMP_SW_PW_I5_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,14.77,1.28,NA,NA
2022-06-13,TMP,Estuarine-water,B4,TMP_SW_PW_B4_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,20.02,0.6,NA,NA
2022-06-13,TMP,Control,C6,TMP_C_PW_C6_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,8.83,0.44,NA,NA
2022-06-13,TMP,Estuarine-water,C3,TMP_SW_PW_C3_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,23.65,0.99,NA,NA
2022-06-13,TMP,Freshwater,C3,TMP_FW_PW_C3_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,10.55,0.52,NA,NA
2022-06-13,TMP,Control,I5,TMP_C_PW_I5_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,19.15,0.84,NA,NA
2022-06-13,TMP,Estuarine-water,D5,TMP_SW_PW_D5_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,11.32,0.58,NA,NA
2022-06-13,TMP,Freshwater,H6,TMP_FW_PW_H6_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,13.55,0.66,NA,NA
2022-06-13,TMP,Freshwater,D5,TMP_FW_PW_D5_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,9.54,0.4,NA,NA
2022-06-13,TMP,Control,C3,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Control,D5,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Control,E3,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Control,F4,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Control,F6,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Control,H3,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Control,H6,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Freshwater,B4,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Freshwater,C6,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Freshwater,E3,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Freshwater,F6,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Freshwater,H3,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Estuarine-water,C6,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Estuarine-water,F4,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Estuarine-water,F6,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-13,TMP,Estuarine-water,H3,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
