date,site,plot,grid,sample_name,evacuation_datetime,collection_datetime,tz,doc_mg_l,tdn_mg_l,doc_flag,tdn_flag
2023-02-02,TMP,Control,C6,TMP_C_C6_20230202,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,EST,8.27,0.27,NA,NA
2023-02-02,TMP,Control,H6,TMP_C_H6_20230202,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,EST,11.4,0.39,NA,NA
2023-02-02,TMP,Control,D5,TMP_C_D5_20230202,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,EST,7.77,0.29,NA,NA
2023-02-02,TMP,Control,E3,TMP_C_E3_20230202,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,EST,8.63,0.3,NA,NA
2023-02-02,TMP,Control,F6,TMP_C_F6_20230202,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,EST,14.28,0.47,NA,NA
2023-02-02,TMP,Control,I5,TMP_C_I5_20230202,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,EST,14.91,0.41,NA,NA
2023-02-02,TMP,Freshwater,C3,TMP_FW_C3_20230202,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,EST,12.3,0.48,NA,NA
2023-02-02,TMP,Freshwater,C6,TMP_FW_C6_20230202,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,EST,7.2,0.39,NA,NA
2023-02-02,TMP,Freshwater,H3,TMP_FW_H3_20230202,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,EST,8.89,0.34,NA,NA
2023-02-02,TMP,Freshwater,H6,TMP_FW_H6_20230202,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,EST,11.86,1.71,NA,NA
2023-02-02,TMP,Freshwater,B4,TMP_FW_B4_20230202,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,EST,11.29,0.49,NA,NA
2023-02-02,TMP,Freshwater,D5,TMP_FW_D5_20230202,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,EST,10.41,0.35,NA,NA
2023-02-02,TMP,Freshwater,F6,TMP_FW_F6_20230202,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,EST,13.77,0.64,NA,NA
2023-02-02,TMP,Freshwater,I5,TMP_FW_I5_20230202,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,EST,13.09,0.58,NA,NA
2023-02-02,TMP,Estuarine-water,C3,TMP_SW_C3_20230202,2023-01-30T16:30:00Z,2023-02-02T17:30:00Z,EST,45.24,1.47,NA,NA
2023-02-02,TMP,Estuarine-water,C6,TMP_SW_C6_20230202,2023-01-30T16:30:00Z,2023-02-02T17:30:00Z,EST,39.86,1.82,NA,NA
2023-02-02,TMP,Estuarine-water,F4,TMP_SW_F4_20230202,2023-01-30T16:30:00Z,2023-02-02T17:30:00Z,EST,20.21,1.72,NA,NA
2023-02-02,TMP,Estuarine-water,H6,TMP_SW_H6_20230202,2023-01-30T16:30:00Z,2023-02-02T17:30:00Z,EST,19.65,0.76,NA,NA
2023-02-02,TMP,Estuarine-water,B4,TMP_SW_B4_20230202,2023-01-30T16:30:00Z,2023-02-02T17:30:00Z,EST,42.47,1.11,NA,NA
2023-02-02,TMP,Estuarine-water,D5,TMP_SW_D5_20230202,2023-01-30T16:30:00Z,2023-02-02T17:30:00Z,EST,52.63,1.54,NA,NA
2023-02-02,TMP,Estuarine-water,E3,TMP_SW_E3_20230202,2023-01-30T16:30:00Z,2023-02-02T17:30:00Z,EST,40.1,1.33,NA,NA
2023-02-02,TMP,Estuarine-water,F6,TMP_SW_F6_20230202,2023-01-30T16:30:00Z,2023-02-02T17:30:00Z,EST,42.55,1.45,NA,NA
2023-02-02,TMP,Control,B4,Lysimeter Empty,2023-01-30T16:30:00Z,2023-02-02T17:30:00Z,EST,NA,NA,NA,NA
2023-02-02,TMP,Control,C3,Lysimeter Empty,2023-01-30T16:30:00Z,2023-02-02T17:30:00Z,EST,NA,NA,NA,NA
