[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	6/21/2024 10:47:37 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240601.2024_06_03_05_07_30.cal	1.00		6/18/2024 8:30:34 AM	1	5	TN	0.2810	4.087	NPOC:1.047mg/L TN:15.29mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_06_13_18_35_37.cal	1.00		6/18/2024 8:40:25 AM	1	1	NPOC	183.7	42.00	NPOC:42.05mg/L TN:1989mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_06_13_18_35_37.cal	1.00		6/18/2024 8:44:57 AM	1	2	NPOC	168.5	38.58	NPOC:42.05mg/L TN:1989mg/L	1	50	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_06_13_18_35_37.cal	1.00		6/18/2024 8:49:16 AM	1	3	NPOC	184.6	42.20	NPOC:42.05mg/L TN:1989mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_06_13_18_35_37.cal	1.00		6/18/2024 8:53:34 AM	1	4	NPOC	183.4	41.93	NPOC:42.05mg/L TN:1989mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240601.2024_06_03_05_07_30.cal	1.00		6/18/2024 8:40:25 AM	1	1	TN	23.82	2019	NPOC:42.05mg/L TN:1989mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240601.2024_06_03_05_07_30.cal	1.00		6/18/2024 8:44:57 AM	1	2	TN	23.47	1989	NPOC:42.05mg/L TN:1989mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240601.2024_06_03_05_07_30.cal	1.00		6/18/2024 8:49:16 AM	1	3	TN	22.67	1920	NPOC:42.05mg/L TN:1989mg/L	1	50	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240601.2024_06_03_05_07_30.cal	1.00		6/18/2024 8:53:34 AM	1	4	TN	23.11	1958	NPOC:42.05mg/L TN:1989mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_06_13_18_35_37.cal	1.00		6/18/2024 9:00:38 AM	1	1	NPOC	5.030	1.760	NPOC:1.169mg/L TN:-10.65mg/L	1	50	
