[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	4/29/2025 5:08:03 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240702.2024_07_04_01_51_34.cal	1.00		7/18/2024 5:56:28 PM	1	5	TN	0.03710	-0.00731	NPOC:0.08872mg/L TN:0.00219mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 6:02:47 PM	1	1	NPOC	2.026	0.04851	NPOC:0.1139mg/L TN:0.00385mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 6:05:34 PM	1	2	NPOC	2.303	0.1153	NPOC:0.1139mg/L TN:0.00385mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 6:08:35 PM	1	3	NPOC	2.233	0.09845	NPOC:0.1139mg/L TN:0.00385mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 6:11:37 PM	1	4	NPOC	2.355	0.1279	NPOC:0.1139mg/L TN:0.00385mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240702.2024_07_04_01_51_34.cal	1.00		7/18/2024 6:02:47 PM	1	1	TN	0.2049	0.01168	NPOC:0.1139mg/L TN:0.00385mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240702.2024_07_04_01_51_34.cal	1.00		7/18/2024 6:05:34 PM	1	2	TN	0.01850	-0.00942	NPOC:0.1139mg/L TN:0.00385mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240702.2024_07_04_01_51_34.cal	1.00		7/18/2024 6:08:35 PM	1	3	TN	0.4443	0.03878	NPOC:0.1139mg/L TN:0.00385mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240702.2024_07_04_01_51_34.cal	1.00		7/18/2024 6:11:37 PM	1	4	TN	0.1837	0.00928	NPOC:0.1139mg/L TN:0.00385mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240702.2024_07_04_01_51_34.cal	1.00		7/18/2024 6:17:24 PM	1	5	TN	0.5892	0.05518	NPOC:0.1139mg/L TN:0.00385mg/L	1	50	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 6:26:50 PM	1	1	NPOC	5.269	0.8308	NPOC:0.8410mg/L TN:1.080mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 6:30:13 PM	1	2	NPOC	5.241	0.8240	NPOC:0.8410mg/L TN:1.080mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 6:34:33 PM	1	3	NPOC	4.213	0.5761	NPOC:0.8410mg/L TN:1.080mg/L	1	50	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 6:38:43 PM	1	4	NPOC	5.700	0.9347	NPOC:0.8410mg/L TN:1.080mg/L	1	50	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 6:42:54 PM	1	5	NPOC	5.424	0.8682	NPOC:0.8410mg/L TN:1.080mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240702.2024_07_04_01_51_34.cal	1.00		7/18/2024 6:26:50 PM	1	1	TN	9.966	1.117	NPOC:0.8410mg/L TN:1.080mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240702.2024_07_04_01_51_34.cal	1.00		7/18/2024 6:30:13 PM	1	2	TN	0.07480	-0.00304	NPOC:0.8410mg/L TN:1.080mg/L	1	50	
