[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	4/29/2025 4:50:19 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240929.2024_09_29_18_21_39.cal	1.00		10/8/2024 4:19:47 PM	1	1	NPOC	37.45	8.388	NPOC:6.006mg/L TN:0.09298mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240929.2024_09_29_18_21_39.cal	1.00		10/8/2024 4:25:51 PM	1	2	NPOC	34.09	7.576	NPOC:6.006mg/L TN:0.09298mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240929.2024_09_29_18_21_39.cal	1.00		10/8/2024 4:30:57 PM	1	3	NPOC	28.09	6.127	NPOC:6.006mg/L TN:0.09298mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240929.2024_09_29_18_21_39.cal	1.00		10/8/2024 4:36:23 PM	1	4	NPOC	27.86	6.071	NPOC:6.006mg/L TN:0.09298mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240929.2024_09_29_18_21_39.cal	1.00		10/8/2024 4:41:22 PM	1	5	NPOC	26.82	5.820	NPOC:6.006mg/L TN:0.09298mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240929.2024_09_29_21_27_53.cal	1.00		10/8/2024 4:19:47 PM	1	1	TN	0.4853	0.08813	NPOC:6.006mg/L TN:0.09298mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240929.2024_09_29_21_27_53.cal	1.00		10/8/2024 4:25:51 PM	1	2	TN	0.5111	0.09075	NPOC:6.006mg/L TN:0.09298mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240929.2024_09_29_21_27_53.cal	1.00		10/8/2024 4:30:57 PM	1	3	TN	0.6029	0.1001	NPOC:6.006mg/L TN:0.09298mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240929.2024_09_29_18_21_39.cal	1.00		10/8/2024 4:56:07 PM	1	1	NPOC	32.37	7.161	NPOC:5.295mg/L TN:0.1742mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240929.2024_09_29_18_21_39.cal	1.00		10/8/2024 5:01:16 PM	1	2	NPOC	26.71	5.794	NPOC:5.295mg/L TN:0.1742mg/L	1	50	
