[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	6/21/2024 10:47:48 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	TMP_FW_D5_T3_PM_20240612	Untitled					5.925	0.2128	mg/L	50	6/19/2024 7:10:49 AM	
Unknown	NPOC/TN	TMP_FW_F4_T3_PM_20240612	Untitled					6.914	0.2619	mg/L	51	6/19/2024 7:26:35 AM	
Unknown	NPOC/TN	TMP_FW_H3_T3_PM_20240612	Untitled					4.875	0.1782	mg/L	52	6/19/2024 7:52:10 AM	
Unknown	NPOC/TN	TMP_FW_I5_T3_PM_20240612	Untitled					4.855	0.2310	mg/L	53	6/19/2024 8:15:35 AM	
Unknown	NPOC/TN	TMP_SW_B4_T4_AM_20240613	Untitled					5.343	0.3989	mg/L	54	6/19/2024 8:35:09 AM	
Unknown	NPOC/TN	TMP_SW_C3_T4_AM_20240613	Untitled					5.849	0.3003	mg/L	55	6/19/2024 8:59:21 AM	
Unknown	NPOC/TN	TMP_SW_D5_T4_AM_20240613	Untitled					3.878	0.2111	mg/L	56	6/19/2024 9:21:00 AM	
Unknown	NPOC/TN	TMP_SW_F6_T4_AM_20240613	Untitled					3.641	0.2152	mg/L	57	6/19/2024 9:44:06 AM	
Unknown	NPOC/TN	No_Sample_DI	Untitled					0.6123	-0.02048	mg/L	0	6/19/2024 10:01:39 AM	
Unknown	NPOC/TN	TMP_FW_C6_T4_AM_20240613	Untitled					4.613	0.09606	mg/L	59	6/19/2024 10:25:50 AM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					49.26	2.024	mg/L	60	6/19/2024 10:44:06 AM	
Unknown	NPOC/TN	DI	Untitled					0.5772	-0.01449	mg/L	0	6/19/2024 11:02:23 AM	
Unknown	NPOC/TN	TMP_FW_D5_T4_AM_20240613	Untitled					6.602	0.3157	mg/L	61	6/19/2024 11:26:39 AM	
Unknown	NPOC/TN	TMP_FW_F4_T4_AM_20240613	Untitled					6.700	0.2655	mg/L	62	6/19/2024 11:45:55 AM	
Unknown	NPOC/TN	TMP_FW_E3_T4_AM_20240613	Untitled					7.743	0.2734	mg/L	63	6/19/2024 12:10:04 PM	
Unknown	NPOC/TN	TMP_FW_H3_T4_AM_20240613	Untitled					4.353	0.1827	mg/L	64	6/19/2024 12:28:28 PM	
Unknown	NPOC/TN	TMP_FW_I3_T4_AM_20240613	Untitled					5.909	0.2236	mg/L	65	6/19/2024 12:52:39 PM	
Unknown	NPOC/TN	TMP_SW_B4_T5_PM_20240613	Untitled					5.297	0.4489	mg/L	66	6/19/2024 1:17:12 PM	
Unknown	NPOC/TN	TMP_SW_C3_T5_PM_20240613	Untitled					5.799	0.3637	mg/L	67	6/19/2024 1:40:57 PM	
Unknown	NPOC/TN	TMP_SW_H6_T5_PM_20240613	Untitled					5.856	0.6584	mg/L	68	6/19/2024 2:05:47 PM	
Unknown	NPOC/TN	TMP_SW_I5_T5_PM_20240613	Untitled					7.362	0.4944	mg/L	69	6/19/2024 2:29:11 PM	
Unknown	NPOC/TN	TMP_FW_C3_T5_PM_20240613	Untitled					4.385	0.1474	mg/L	70	6/19/2024 2:54:07 PM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					49.22	2.034	mg/L	71	6/19/2024 3:18:28 PM	
Unknown	NPOC/TN	DI	Untitled					0.6395	-0.02532	mg/L	0	6/19/2024 3:38:24 PM	
Unknown	NPOC/TN	TMP_FW_C6_T5_PM_20240613	Untitled					3.634	0.09916	mg/L	72	6/19/2024 4:04:24 PM	
Unknown	NPOC/TN	TMP_FW_D5_T5_PM_20240613	Untitled					6.340	0.2473	mg/L	73	6/19/2024 4:28:51 PM	
Unknown	NPOC/TN	TMP_FW_E3_T5_PM_20240613	Untitled					7.736	0.3197	mg/L	74	6/19/2024 4:52:40 PM	
Unknown	NPOC/TN	TMP_FW_F4_T5_PM_20240613	Untitled					5.846	0.1936	mg/L	75	6/19/2024 5:14:06 PM	
Unknown	NPOC/TN	DI	Untitled					0.4810	-0.02208	mg/L	0	6/19/2024 5:37:59 PM	
Unknown	NPOC/TN	TMP_FW_H3_T5_PM_20240613	Untitled					4.532	0.1850	mg/L	76	6/19/2024 6:02:25 PM	
Unknown	NPOC/TN	TMP_FW_I5_T5_PM_20240613	Untitled					5.037	0.3525	mg/L	77	6/19/2024 6:27:33 PM	
Unknown	NPOC/TN	TMP_SW_B4_T6_20240614	Untitled					5.398	0.4270	mg/L	78	6/19/2024 6:51:34 PM	
Unknown	NPOC/TN	TMP_SW_C3_T6_20240614	Untitled					5.674	0.3358	mg/L	79	6/19/2024 7:15:22 PM	
Unknown	NPOC/TN	TMP_SW_D5_T6_20240614	Untitled					3.971	0.2582	mg/L	80	6/19/2024 7:38:19 PM	
Unknown	NPOC/TN	TMP_SW_E3_T6_20240614	Untitled					4.342	0.3090	mg/L	81	6/19/2024 8:02:00 PM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					49.44	2.052	mg/L	82	6/19/2024 8:29:15 PM	
Unknown	NPOC/TN	DI	Untitled					0.5713	-0.02514	mg/L	0	6/19/2024 8:46:50 PM	
Unknown	NPOC/TN	TMP_SW_F6_T6_20240614	Untitled					4.040	0.2032	mg/L	83	6/19/2024 9:10:41 PM	
Unknown	NPOC/TN	TMP_SW_H6_T6_20240614	Untitled					4.460	0.2951	mg/L	84	6/19/2024 9:35:34 PM	
Unknown	NPOC/TN	TMP_FW_C3_T6_20240614	Untitled					4.841	0.1826	mg/L	85	6/19/2024 9:57:40 PM	
Unknown	NPOC/TN	TMP_FW_C6_T6_20240614	Untitled					4.284	0.1261	mg/L	86	6/19/2024 10:19:46 PM	
Unknown	NPOC/TN	TMP_FW_D5_T6_20240614	Untitled					6.521	0.3691	mg/L	87	6/19/2024 10:42:22 PM	
Unknown	NPOC/TN	TMP_FW_E3_T6_20240614	Untitled					7.641	0.2835	mg/L	88	6/19/2024 11:05:45 PM	
Unknown	NPOC/TN	TMP_FW_F4_T6_20240614	Untitled					5.791	0.02767	mg/L	89	6/19/2024 11:29:17 PM	
Unknown	NPOC/TN	TMP_FW_H3_T6_20240614	Untitled					4.228	0.1816	mg/L	90	6/19/2024 11:51:57 PM	
Unknown	NPOC/TN	TMP_FW_I5_T6_20240614	Untitled					6.165	0.3239	mg/L	91	6/20/2024 12:15:33 AM	
Unknown	NPOC/TN	TMP_SW_B4_20240617	Untitled					5.447	0.4675	mg/L	92	6/20/2024 12:39:04 AM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					49.25	1.985	mg/L	93	6/20/2024 1:03:04 AM	
Unknown	NPOC/TN	DI	Untitled					0.7318	-0.02047	mg/L	0	6/20/2024 1:15:01 AM	
Unknown	NPOC/TN	TMP_SW_C3_20240617	Untitled					7.377	0.4362	mg/L	1	6/20/2024 1:39:00 AM	
Unknown	NPOC/TN	TMP_SW_F6_20240617	Untitled					4.416	0.6946	mg/L	2	6/20/2024 2:01:09 AM	
Unknown	NPOC/TN	TMP_FW_C6_20240617	Untitled					5.757	0.2263	mg/L	3	6/20/2024 2:25:33 AM	
Unknown	NPOC/TN	TMP_FW_D5_20240617	Untitled					6.783	0.2202	mg/L	4	6/20/2024 2:40:27 AM	
Unknown	NPOC/TN	TMP_FW_F4_20240617	Untitled					8.772	0.3446	mg/L	5	6/20/2024 3:04:21 AM	
