[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	4/29/2025 4:57:23 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	4.009.4.33.04	PDX CURB BDOC					2.727	0.8910	mg/L	44	8/6/2024 10:05:25 AM	
Unknown	NPOC/TN	4.009.4.33.05	PDX CURB BDOC					2.558	0.9538	mg/L	45	8/6/2024 10:23:07 AM	
Unknown	NPOC/TN	DI	PDX CURB BDOC					-0.3321	0.06403	mg/L	0	8/6/2024 10:45:50 AM	
Unknown	NPOC/TN	Std Chk	PDX CURB BDOC					30.86	2.536	mg/L	46	8/6/2024 11:16:12 AM	
Unknown	NPOC/TN	DI	PDX CURB BDOC					-0.3813	0.06403	mg/L	0	8/6/2024 11:38:19 AM	
Unknown	NPOC/TN	4.009.4.33.06	PDX CURB BDOC					2.588	1.023	mg/L	47	8/6/2024 12:07:47 PM	
Unknown	NPOC/TN	4.033.4.33.01	PDX CURB BDOC					2.120	0.6018	mg/L	48	8/6/2024 12:35:07 PM	
Unknown	NPOC/TN	4.033.4.33.02	PDX CURB BDOC					2.195	0.5909	mg/L	49	8/6/2024 1:02:24 PM	
Unknown	NPOC/TN	4.033.4.33.03	PDX CURB BDOC					2.151	0.5709	mg/L	50	8/6/2024 1:29:50 PM	
Unknown	NPOC/TN	4.033.4.33.04	PDX CURB BDOC					2.158	0.7495	mg/L	51	8/6/2024 1:57:24 PM	
Unknown	NPOC/TN	4.033.4.33.05	PDX CURB BDOC					2.048	0.7151	mg/L	52	8/6/2024 2:25:57 PM	
Unknown	NPOC/TN	4.033.4.33.06	PDX CURB BDOC					2.031	0.7308	mg/L	53	8/6/2024 2:51:40 PM	
Unknown	NPOC/TN	4.034.4.33.01	PDX CURB BDOC					0.9179	0.6862	mg/L	54	8/6/2024 3:17:45 PM	
