[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	12/18/2024 3:06:37 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20241129.2024_11_29_21_14_23.cal	1.00		12/17/2024 2:13:29 PM	1	3	TN	0.5130	0.02518	NPOC:0.3399mg/L TN:0.00681mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20241129.2024_11_29_21_14_23.cal	1.00		12/17/2024 2:17:22 PM	1	4	TN	0.7749	0.04903	NPOC:0.3399mg/L TN:0.00681mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20241129.2024_11_29_21_14_23.cal	1.00		12/17/2024 2:21:09 PM	1	5	TN	0.2068	-0.00270	NPOC:0.3399mg/L TN:0.00681mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20241126.2024_11_26_19_54_39.cal	1.00		12/17/2024 2:29:46 PM	1	1	NPOC	2.873	0.2537	NPOC:0.2622mg/L TN:-0.00555mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20241126.2024_11_26_19_54_39.cal	1.00		12/17/2024 2:33:34 PM	1	2	NPOC	2.871	0.2532	NPOC:0.2622mg/L TN:-0.00555mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20241126.2024_11_26_19_54_39.cal	1.00		12/17/2024 2:37:24 PM	1	3	NPOC	2.973	0.2797	NPOC:0.2622mg/L TN:-0.00555mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20241129.2024_11_29_21_14_23.cal	1.00		12/17/2024 2:29:46 PM	1	1	TN	0.1637	-0.00662	NPOC:0.2622mg/L TN:-0.00555mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20241129.2024_11_29_21_14_23.cal	1.00		12/17/2024 2:33:34 PM	1	2	TN	0.7488	0.04665	NPOC:0.2622mg/L TN:-0.00555mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20241129.2024_11_29_21_14_23.cal	1.00		12/17/2024 2:37:24 PM	1	3	TN	0.1367	-0.00908	NPOC:0.2622mg/L TN:-0.00555mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20241129.2024_11_29_21_14_23.cal	1.00		12/17/2024 2:44:34 PM	1	4	TN	0.2260	-0.00095	NPOC:0.2622mg/L TN:-0.00555mg/L	0	50	
